Type,lat_dd,long_dd
"Supersensor",39.114886130852156,-96.5581100243707
"LTM",39.11345433391323,-96.55736973471672
"LTM",39.11193093662298,-96.55319621768182
"LTM",39.11257150891638,-96.55274923203987
"LTM",39.1081422803596,-96.55314940964605
"LTM",39.105896545363365,-96.55156154198542
"LTM",39.098832108058325,-96.55194778007963
