site,STIC,sublocation,month,windowLength_days,prcData,prcWet,meanTemp_C
04M06,04M06_2,LS,June,21,0.714427367377293,0.5544760582928522,17.453011797362944
04M07,04M07_1,HS,June,7,1,1,14.79667161961367
04M07,04M07_1,HS,June,14,1,1,14.993420074349443
04M07,04M07_1,HS,June,21,0.714427367377293,1,15.029389312977099
04M08,04M08_1,HS,June,7,1,1,14.762377414561664
04M08,04M08_2,LS,June,7,1,1,14.771961367013374
04M08,04M08_1,HS,June,14,1,1,14.944275092936802
04M08,04M08_2,LS,June,14,1,1,14.956587360594796
04M08,04M08_1,HS,June,21,0.714427367377293,1,14.971089521165856
04M08,04M08_2,LS,June,21,0.714427367377293,1,14.983518390006939
04M09,04M09_1,HS,June,7,1,1,15.462005943536404
04M09,04M09_2,LS,June,7,1,1,15.297325408618129
04M09,04M09_1,HS,June,14,1,1,15.598282527881041
04M09,04M09_2,LS,June,14,1,1,15.442304832713754
04M09,04M09_1,HS,June,21,0.714427367377293,1,15.636210964607912
04M09,04M09_2,LS,June,21,0.714427367377293,1,15.479077029840388
04M10,04M10_1,HS,June,7,1,1,15.497355126300148
04M10,04M10_2,LS,June,7,1,1,15.369673105497771
04M10,04M10_1,HS,June,14,1,1,15.618951672862453
04M10,04M10_2,LS,June,14,1,1,15.492081784386617
04M10,04M10_1,HS,June,21,0.714427367377293,1,15.659646079111727
04M10,04M10_2,LS,June,21,0.714427367377293,1,15.53321998612075
04M11,04M11_1,HS,June,7,1,1,15.803254086181278
04M11,04M11_1,HS,June,14,1,1,15.5353531598513
04M11,04M11_1,HS,June,21,0.7620228061477442,1,15.598640208197788
04M12,04M12_1,HS,June,7,1,1,15.048722139673105
04M12,04M12_2,LS,June,7,1,1,14.084873699851412
04M12,04M12_1,HS,June,14,1,1,15.04682527881041
04M12,04M12_2,LS,June,14,1,1,14.222446096654275
04M12,04M12_1,HS,June,21,0.7620228061477442,1,15.21936239427456
04M12,04M12_2,LS,June,21,0.7620228061477442,1,14.310559531554977
04M13,04M13_1,HS,June,7,1,0.18573551263001487,20.937132243684992
04M13,04M13_1,HS,June,14,1,0.1895910780669145,19.983620817843867
04M13,04M13_1,HS,June,21,0.7620228061477442,0.29082628497072216,20.19476903057905
04T01,04T01_1,HS,June,7,1,0.6210995542347697,16.21178306092125
04T01,04T01_2,LS,June,7,1,0.7563150074294205,16.904249628528977
04T01,04T01_1,HS,June,14,0.9286245353159851,0.6869495596477182,17.83773418734988
04T01,04T01_2,LS,June,14,0.9286245353159851,0.7926341072858286,18.055540432345875
04T01,04T01_1,HS,June,21,0.6192364898363907,0.6869495596477182,17.83773418734988
04T01,04T01_2,LS,June,21,0.6192364898363907,0.7926341072858286,18.055540432345875
04T02,04T02_1,HS,June,7,0.8276374442793462,1,16.336624775583484
04T02,04T02_2,LS,June,7,1,1,16.632020802377415
04T02,04T02_1,HS,June,14,0.9137546468401487,1,16.268030919446705
04T02,04T02_2,LS,June,14,1,1,16.339546468401487
04T02,04T02_1,HS,June,21,0.7045116509667824,1,16.363180858550315
04T02,04T02_2,LS,June,21,0.7620228061477442,1,16.392081977878984
04W01,04W01_1,HS,June,7,1,0.6849925705794948,19.60074294205052
04W01,04W01_1,HS,June,14,1,0.8423791821561338,18.54882527881041
04W01,04W01_1,HS,June,21,0.7620228061477442,0.8620689655172413,18.55940143135979
04W02,04W02_1,HS,June,7,1,1,16.493358098068352
04W02,04W02_2,LS,June,7,1,1,16.43032689450223
04W02,04W02_1,HS,June,14,1,1,16.48085501858736
04W02,04W02_2,LS,June,14,1,1,16.467687732342007
04W02,04W02_1,HS,June,21,0.7620228061477442,1,16.588243331164605
