siteID,n_wet,n_total,prc_missing,prc_wet,tempC_mean
01M01_1,4661,12197,0.7836529081008212,0.38214314995490695,6.984064114126425
01M02_1,3720,26368,0.5322915373290527,0.14108009708737865,17.589771692961165
01M02_2,5106,5106,0.9094311510012949,1,13.521643164904035
01M03_1,2221,22615,0.5988612377387942,0.09820915321689144,16.93742913995136
01M03_2,4076,34812,0.38251414583961546,0.11708606227737561,13.918675456739056
01M04_2,6218,33864,0.39932951380882276,0.18361682022206474,13.943159697613986
01M05_1,18449,21654,0.6159071961970307,0.8519903943844094,17.020088205412396
01M06_1,8747,33852,0.39954236656792663,0.25838946000236324,12.771853952499114
02M01_1,48,12640,0.7757950937439027,0.0037974683544303796,10.92487658227848
02M01_2,2485,22616,0.5988435000088689,0.10987796250442165,16.58674522461974
02M02_1,3016,22615,0.5988612377387942,0.13336281229272606,16.570999778907805
02M03_1,2826,22616,0.5988435000088689,0.1249557835160948,16.688561195613726
02M04_1,1571,23611,0.5811944587331713,0.06653678370251154,8.74917623141756
02M04_2,1839,12197,0.7836529081008212,0.1507747806837747,7.703222923669755
02M05_1,7074,12197,0.7836529081008212,0.5799786832827745,7.05160695252931
02M06_1,7423,34630,0.38574241268602444,0.2143517181634421,13.764279526422177
02M06_2,18219,34812,0.38251414583961546,0.5233540158566011,12.666665517637597
02M07_1,28515,34621,0.38590205225535235,0.8236330550821755,12.51569365414055
02M08_1,2595,13798,0.7552548024903772,0.18807073488911435,23.540364545586318
02M08_2,7027,33856,0.39947141564822536,0.20755552930056712,14.005594872400756
02M09_1,9912,34620,0.3859197899852777,0.2863084922010399,13.351204794916233
02M10_1,454,11252,0.8004150628802525,0.04034838250977604,10.233446498400285
02M10_2,15519,34811,0.38253188356954076,0.4458073597426101,12.639607308034817
02M11_1,21189,34813,0.3824964081096901,0.6086519403671042,13.726468273346164
02M11_2,21530,23584,0.5816733774411551,0.9129070556309362,14.470635600407055
04M01_1,15003,23391,0.5850967593167427,0.6414005386687187,14.48123423538968
04M01_2,29794,34811,0.38253188356954076,0.8558788888569705,13.866337364626125
04M02_1,15667,23393,0.585061283856892,0.6697302611892446,14.260130808361476
04M02_2,21589,22615,0.5988612377387942,0.9546318814945832,16.340701746628344
04M03_1,2928,11199,0.8013551625662948,0.2614519153495848,22.924203053844092
