long,lat,SiteID_Placeholder
-96.49737562122482,37.56144760784179,1
-96.50047278374926,37.55940377827999,2
-96.49382445095233,37.56304345363598,3
-96.49508004337262,37.562192436026955,4
-96.49243172755871,37.564243674553964,5
-96.4913072111136,37.56439887448547,6
-96.48994325745184,37.56422925990308,7
-96.48930121019018,37.563655060858835,8
-96.50119247869073,37.56087944240631,9
-96.49542835427457,37.56485240216178,10
-96.49893483027186,37.5631782177346,11
-96.49412161396117,37.56480208949035,12
-96.50194545410703,37.564083033235406,13
-96.50048356181411,37.563198610057576,14
-96.50242838150851,37.565546881724266,15
-96.49893777595761,37.56576112068859,16
-96.49710708945187,37.565291288265456,17
-96.4908580919379,37.56605296533909,18
-96.49329271865943,37.56487666878464,19
-96.49565858329603,37.56617670162018,20
